year_bud,year,apr,may,jun,jul,aug,sep,oct,nov,dec,jan,feb,mar
2538,1995,35.70,42.60,119.30,736.60,"2,078.80","1,351.50",449.60,258.10,117.60,67.20,41.00,28.40
2539,1996,43.70,59.80,159.10,591.80,"1,016.70",563.60,416.90,155.30,83.50,57.30,31.20,27.10
2540,1997,36.05,56.50,30.83,292.59,640.05,750.85,353.23,124.93,61.37,43.06,25.06,17.12
2541,1998,34.66,34.64,75.48,316.37,379.38,605.79,144.28,74.37,46.88,29.71,18.42,15.94
2542,1999,25.69,107.53,314.15,322.33,"1,059.07","1,264.99",408.40,158.23,73.80,48.53,32.74,26.62
2543,2000,28.36,164.09,247.96,814.01,544.45,767.70,291.91,133.02,75.44,48.66,21.42,36.88
2544,2001,28.13,89.10,142.88,644.60,"1,432.83",923.37,359.22,167.87,85.50,59.93,34.24,23.20
2545,2002,24.58,302.27,466.30,643.61,"1,035.52",943.25,290.79,173.90,127.36,81.09,38.62,52.87
2546,2003,36.97,32.63,78.75,469.46,695.93,801.33,201.17,82.82,45.07,34.68,20.41,13.44
2547,2004,28.23,68.63,242.34,680.09,919.31,"1,382.07",283.88,110.80,70.18,47.78,24.34,19.02
2548,2005,14.73,24.71,146.22,351.74,"1,009.91",844.55,432.68,148.45,75.54,65.78,38.26,18.41
2549,2006,45.73,94.26,88.76,440.40,"1,747.81",814.73,442.83,152.43,85.63,54.01,29.84,21.94
2550,2007,21.20,93.51,169.23,195.16,659.66,689.34,580.03,140.61,49.90,19.87,39.01,8.12
2551,2008,47.16,135.00,475.73,"1,197.37","1,712.77",740.79,394.55,204.06,94.54,49.83,21.59,12.57
2552,2009,31.04,59.87,127.46,714.16,520.99,409.03,252.24,107.46,51.41,38.43,12.36,7.75
2553,2010,9.45,42.20,47.62,478.83,"1,566.92","1,142.55",285.10,115.76,72.39,38.62,13.56,23.06
2554,2011,45.48,240.68,737.23,"1,226.63","1,652.42","1,233.83",483.75,193.82,107.71,74.67,45.81,36.35
2555,2012,57.25,117.56,102.86,340.41,766.54,612.78,231.31,149.96,107.87,61.01,46.39,27.50
2556,2013,20.58,47.02,74.51,413.24,837.89,574.39,231.46,117.11,95.76,51.45,27.47,18.69
2557,2014,21.99,49.09,54.84,347.38,725.95,731.90,250.95,162.26,73.89,71.28,32.97,25.09
2558,2015,38.35,32.80,45.85,180.36,567.66,501.92,327.12,110.96,85.98,47.69,28.04,15.74
2559,2016,22.92,69.98,102.67,375.90,"1,041.38",739.98,284.36,121.92,67.90,60.83,25.82,12.58
2560,2017,28.71,60.56,75.48,668.52,671.58,675.42,397.81,148.63,88.14,64.59,32.76,23.45
2561,2018,42.73,90.40,369.05,"1,068.02","1,152.89",788.53,315.05,130.83,73.48,56.04,25.38,15.70
2562,2019,8.59,10.92,28.51,49.50,949.38,406.59,113.94,60.82,32.22,20.71,9.98,5.79
2563,2020,9.04,9.54,95.89,133.60,"1,007.84",426.88,184.13,73.88,41.34,26.52,20.27,13.32
2564,2021,50.56,35.78,225.14,283.73,412.55,297.35,183.80,90.01,38.94,27.74,22.20,30.70
2565,2022,33.27,117.32,111.54,474.28,831.66,498.53,362.82,119.06,66.60,38.25,21.41,13.61
2566,2023,6.08,24.07,62.17,204.35,747.97,552.10,298.51,142.42,69.80,39.53,22.47,11.28
2567,2024,14.62,63.74,249.57,409.26,"1,719.39",875.98,386.80,140.74,89.66,59.62,36.19,27.13
